uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
P_588,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Toxafeen,Toxafeen,Toxafeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OEJNXTAZZBRGDN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_929,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',4,5,5'-Pentachloorbifenyl (PCB101)",PCB 101,"2,2',4,5,5'-Pentachloorbifenyl (PCB101)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LAHWLEDBADHJGA-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_942,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,4,4'-Trichloorbifenyl (PCB28)",PCB 28,"2,4,4'-Trichloorbifenyl (PCB28)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZTYNSQSZHARAZ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_933,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',5,5'-Tetrachloorbifenyl (PCB52)",PCB 52,"2,2',5,5'-Tetrachloorbifenyl (PCB52)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HCWZEPKLWVAEOV-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_2293,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fosfor,P if,"Fosfor, anorganisch gefiltreerd",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OAICVXFJPJFONN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_73,anorganisch gefiltreerd,,
P_1007,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Telluur,Te,Telluur,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PORWMNRCUJJQNO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1189,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Molybdeen,Mo t,"Molybdeen, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOKXTWBITQBERF-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_2035,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,= PFOAtotaal - PFOA,PFOA vertakt,= PFOAtotaal - PFOA,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/SNGREZUHAYWORS-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1095,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chloorfenvinfos,Cfvinfos,Chloorfenvinfos,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/clfvfs,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_420,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Boor,B o,"Boor, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOXJGFHDIHLPTG-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1461,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Perfluoroctaansulfonzuur (PFOS),PFOS,Perfluoroctaansulfonzuur (PFOS),https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YFSUTJLHUFNCNZ-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_150,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(k)fluorantheen,B(k)Flu o,"Benzo(k)fluorantheen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HAXBIWFMXWRORI-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
