uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
P_395,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"Kalium, éénwaardig",K+,"Kalium, éénwaardig",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NPYPAHLBTDXSSS-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1197,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fluorantheen,Flu,Fluorantheen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/GVEPBJHOBDJJJI-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_609,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chemisch zuurstofverbruik,CZV f,"Chemisch zuurstofverbruik, gefilterd",https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0040,dr:DR_1,Waterstaal,wb:SWB_5,gefilterd,,
P_421,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Boor,B t,"Boor, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOXJGFHDIHLPTG-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_425,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cadmium,Cd t,"Cadmium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WLZRMCYVCSSEQC-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_458,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Seleen,Se t,"Seleen, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BUGBHKTXTAQXES-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_721,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"cis-1,3-Dichloorpropeen",c13CPe,"cis-1,3-Dichloorpropeen",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-UPHRSURJSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1009,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Telluur,Te t,"Telluur, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PORWMNRCUJJQNO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_157,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Naftaleen,Naft o,"Naftaleen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFWIBTONFRDIAS-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_940,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,4,4'-Trichloorbifenyl (PCB28)",PCB 28,"2,4,4'-Trichloorbifenyl (PCB28)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZTYNSQSZHARAZ-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_1460,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Perfluoroctaansulfonzuur (PFOS),PFOS,Perfluoroctaansulfonzuur (PFOS),https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YFSUTJLHUFNCNZ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1908,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Zilver,Ag mo,"Zilver, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BQCADISMDOOEFD-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_708,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"1,2-Dichloorethaan",12CEa,"1,2-Dichloorethaan",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WSLDOOZREJYCGB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_283,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Xylenen (o+m+p),ompXyl,Xylenen (o+m+p),https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/ompxyl,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_139,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',4,4',5,5'-Hexachloorbifenyl (PCB153)",PCB 153 o,"2,2',4,4',5,5'-Hexachloorbifenyl (PCB153), opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/MVWHGTYKUMDIHL-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_543,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Hexachloorbenzeen,HCBz,Hexachloorbenzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CKAPSXZOOQJIBF-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_871,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Vinylchloride,VinCl,Vinylchloride,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZHJMEDXRYGGRV-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_559,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Isodrin,Isodrin,Isodrin,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/QBYJBZPUGVGKQQ-SEIHLVFNSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1168,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pentachloorbenzeen,PCBz,Pentachloorbenzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CEOCDNVZRAIOQZ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_423,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cadmium,Cd o,"Cadmium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WLZRMCYVCSSEQC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1843,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Arseen,As mt,"Arseen, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RQNWIZPPADIBDY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_457,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Seleen,Se o,"Seleen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BUGBHKTXTAQXES-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_151,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chryseen,Chr o,"Chryseen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WDECIBYCCFPHNR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1622,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- v,"Cyaniden, vrij",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_24,vrij per droge stof,DS,per droge stof
P_404,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Antimoon,Sb o,"Antimoon, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WUOBERCRSABHOT-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_529,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Endrin,Endrin,Endrin,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DFBKLUNHFCTMDC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_2091,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Arseen,As i,"Arseen, anorganisch",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RQNWIZPPADIBDY-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_81,anorganisch per nat gewicht,NG,per nat gewicht
P_919,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',3,4,4',5'-Hexachloorbifenyl (PCB138)",PCB 138,"2,2',3,4,4',5'-Hexachloorbifenyl (PCB138)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RPUMZMSNLZHIGZ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_895,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(a)pyreen,B(a)P,Benzo(a)pyreen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/FMMWHPNWAFZXNH-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_155,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fluoreen,Fluoreen o,"Fluoreen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NIHNNTQXNPWCJQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_2196,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Diuron,Diuron s,"Diuron, pesticiden sampler",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XMTQQYYKAHVGBJ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_41,pesticiden sampler,,
P_764,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,2-Chloortolueen,2CTol,2-Chloortolueen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IBSQPLPBRSHTTG-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1913,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Barium,Ba mo,"Barium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DSAJWYNOEDNPEQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_144,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Acenaftyleen,Acenaftyl o,"Acenaftyleen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HXGDTGSAIMULJN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1074,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"trans-1,2-Dichlooretheen",t12CEe,"trans-1,2-Dichlooretheen",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KFUSEUYYWQURPO-OWOJBTEDSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_802,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tetrachloormethaan,TtCMa,Tetrachloormethaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/VZGDMQKNWNREIO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_623,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"1,1,1-Trichloorethaan",111CEa,"1,1,1-Trichloorethaan",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOCLXMDMGBRAIB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1073,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"trans-1,2-Dichlooretheen",t12CEe,"trans-1,2-Dichlooretheen",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KFUSEUYYWQURPO-OWOJBTEDSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_2184,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Atrazine,Atraz s,"Atrazine, pesticiden sampler",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/MXWJVTOOROXGIU-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_41,pesticiden sampler,,
P_494,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzeen,Benzeen,Benzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UHOVQNZJYSORNB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1902,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Vanadium,V mt,"Vanadium, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LEONUFNNVUYDNQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1113,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyclohexaan,cyHa,Cyclohexaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XDTMQSROBMDMFD-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1867,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Kalium,K mt,"Kalium, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZLMJMSJWJFRBEC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_422,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cadmium,Cd,Cadmium,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WLZRMCYVCSSEQC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_415,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Beryllium,Be,Beryllium,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATBAMAFKBVZNFJ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1373,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Dioxines+furanen,PCDD+PCDF,Dioxines+furanen,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/pcdd_pcdf,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1939,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Molybdeen,Mo mo,"Molybdeen, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOKXTWBITQBERF-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_2053,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,= PFOStotaal - PFOS,PFOS vertakt,= PFOStotaal - PFOS,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YFSUTJLHUFNCNZ-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_146,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(a)anthraceen,B(a)A o,"Benzo(a)anthraceen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DXBHBZVCASKNBY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_306,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Sulfide,S=,Sulfide,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UCKMPCXJQFINFW-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_300,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Nitriet,NO2- f,"Nitriet, gefilterd",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IOVCWXUNBOPUCH-UHFFFAOYSA-M,dr:DR_1,Waterstaal,wb:SWB_5,gefilterd,,
P_1195,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fluorantheen,Flu,Fluorantheen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/GVEPBJHOBDJJJI-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_470,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tin,Sn t,"Tin, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATJFFYVFTNAWJD-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_1870,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Magnesium,Mg mt,"Magnesium, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JLVVSXFLKOJNIY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1934,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Kalium,K mo,"Kalium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZLMJMSJWJFRBEC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_145,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Anthraceen,Ant o,"Anthraceen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/MWPLVEDNUUSJAV-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_918,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',3,4,4',5'-Hexachloorbifenyl (PCB138)",PCB 138,"2,2',3,4,4',5'-Hexachloorbifenyl (PCB138)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RPUMZMSNLZHIGZ-UHFFFAOYSA-N,dr:DR_3,Biota,wb:SWB_10,standaard per nat gewicht,NG,per nat gewicht
P_1400,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Kalium,K o,"Kalium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZLMJMSJWJFRBEC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_158,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pyreen,Pyr o,"Pyreen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BBEAQIROQSPTKN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1893,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Strontium,Sr mt,"Strontium, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CIOAGBVUUVVLOB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1154,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Natrium,Na t,"Natrium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/FKNQFGJONOIPTF-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_913,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Naftaleen,Naft,Naftaleen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFWIBTONFRDIAS-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_466,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Thallium,Tl t,"Thallium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BKVIYDNLLOSFOA-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_888,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Trifluralin,Tfluralin,Trifluralin,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZSDSQXJSNMTJDA-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_627,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"1,1,2-Trichloorethaan",112CEa,"1,1,2-Trichloorethaan",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UBOXGVDOUJQMTN-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_497,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ethylbenzeen,EyBz,Ethylbenzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_518,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chloordaan,Cdaan,Chloordaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BIWJNBZANLAXMG-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_298,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Nitraat,NO3- f,"Nitraat, gefilterd",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NHNBFGGVMKEFGY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_5,gefilterd,,
P_1914,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Beryllium,Be mo,"Beryllium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATBAMAFKBVZNFJ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1876,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Nikkel,Ni mt,"Nikkel, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PXHVJJICTQNCMI-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1917,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cadmium,Cd mo,"Cadmium, multi opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WLZRMCYVCSSEQC-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_8,multi opgelost,,
P_1623,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- v,"Cyaniden, vrij",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_16,vrij,,
P_295,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chloride,Cl-,Chloride,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/VEXZGXHMUGYJMC-UHFFFAOYSA-M,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_547,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Hexachloorbutadieen,HCBdn,Hexachloorbutadieen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RWNKSTSCBHKHTB-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_419,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Boor,B,Boor,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOXJGFHDIHLPTG-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_916,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pyreen,Pyr,Pyreen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BBEAQIROQSPTKN-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1218,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tributyltin,TBySn,Tributyltin,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LSKGFBJLYWXIOF-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_455,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Nikkel,Ni t,"Nikkel, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PXHVJJICTQNCMI-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_486,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Zink,Zn t,"Zink, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HCHKCACWOHOZIP-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_1149,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Calcium,Ca t,"Calcium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OYPRJOBELJOOCE-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_1008,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Telluur,Te o,"Telluur, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PORWMNRCUJJQNO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_985,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fosfor,P ot,"Fosfor, organisch totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OAICVXFJPJFONN-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_19,organisch totaal,,
P_449,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Mangaan,Mn o,"Mangaan, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PWHULOQIROXLJO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_931,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',4,5,5'-Pentachloorbifenyl (PCB101)",PCB 101,"2,2',4,5,5'-Pentachloorbifenyl (PCB101)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LAHWLEDBADHJGA-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1986,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,MUC-Fe t,"Ijzer, MUC project totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_66,MUC project totaal,,
P_570,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pentachloorfenol,PCFol,Pentachloorfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IZUPBVBPLAPZRR-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_782,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,4-Chloorfenol,4CFol,4-Chloorfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WXNZTHHGJRFXKQ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1188,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Molybdeen,Mo t,"Molybdeen, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ZOKXTWBITQBERF-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_2051,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,= PFOStotaal - PFOS,PFOS vertakt,= PFOStotaal - PFOS,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YFSUTJLHUFNCNZ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_909,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Fluoreen,Fluoreen,Fluoreen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/NIHNNTQXNPWCJQ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
